AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr
11001;11001001;Mitte;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;9;8;0;1;0
11002;11002002;Friedrichshain-Kreuzberg;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;2;0;0;0
11003;11003003;Pankow;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;3;3;0;0;0
11004;11004004;Charlottenburg-Wilmersdorf;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;4;2;2;0;0
11005;11005005;Spandau;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;1;1;0;0
11006;11006006;Steglitz-Zehlendorf;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;0;0;0;0;0
11007;11007007;Tempelhof-Schöneberg;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;10;5;4;1;0
11008;11008008;Neukölln;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;10;8;2;0;0
11009;11009009;Treptow-Köpenick;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
11010;11010010;Marzahn-Hellersdorf;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;3;3;0;0;0
11011;11011011;Lichtenberg;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;4;3;1;0;0
11012;11012012;Reinickendorf;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;6;6;0;0;0
